,Back Squat,Bench Press,Chest-Supported Barbell Row (torso parallel),Clean,Clean & Jerk,Clean Deadlift,Close-Grip Bench Press,Front Squat,Incline Bench Press,Jerk,"Military Press (standing, strict)",Power Clean,Power Jerk,Power Snatch,Powerlifting Deadlift,Preacher Curl,Push Press,Snatch,Snatch Deadlift,Standing Reverse Curl,Supinated Chin-Up (bodyweight included),Weighted Dip (bodyweight included)
Back Squat,100.0,133.3,190.5,122.5,125.0,100.0,148.1,117.6,166.7,119.0,222.2,147.1,138.9,185.2,83.3,333.3,156.9,151.5,111.1,381.0,148.1,127.0
Bench Press,75.0,100.0,142.9,91.9,93.8,75.0,111.1,88.2,125.0,89.3,166.7,110.3,104.2,138.9,62.5,250.0,117.6,113.6,83.3,285.7,111.1,95.2
Chest-Supported Barbell Row (torso parallel),52.5,70.0,100.0,64.3,65.6,52.5,77.8,61.8,87.5,62.5,116.7,77.2,72.9,97.2,43.8,175.0,82.4,79.5,58.3,200.0,77.8,66.7
Clean,81.6,108.8,155.4,100.0,102.0,81.6,120.9,96.0,136.0,97.1,181.3,120.0,113.3,151.1,68.0,272.0,128.0,123.6,90.7,310.9,120.9,103.6
Clean & Jerk,80.0,106.7,152.4,98.0,100.0,80.0,118.5,94.1,133.3,95.2,177.8,117.6,111.1,148.1,66.7,266.7,125.5,121.2,88.9,304.8,118.5,101.6
Clean Deadlift,100.0,133.3,190.5,122.5,125.0,100.0,148.1,117.6,166.7,119.0,222.2,147.1,138.9,185.2,83.3,333.3,156.9,151.5,111.1,381.0,148.1,127.0
Close-Grip Bench Press,67.5,90.0,128.6,82.7,84.4,67.5,100.0,79.4,112.5,80.4,150.0,99.3,93.8,125.0,56.3,225.0,105.9,102.3,75.0,257.1,100.0,85.7
Front Squat,85.0,113.3,161.9,104.2,106.2,85.0,125.9,100.0,141.7,101.2,188.9,125.0,118.1,157.4,70.8,283.3,133.3,128.8,94.4,323.8,125.9,107.9
Incline Bench Press,60.0,80.0,114.3,73.5,75.0,60.0,88.9,70.6,100.0,71.4,133.3,88.2,83.3,111.1,50.0,200.0,94.1,90.9,66.7,228.6,88.9,76.2
Jerk,84.0,112.0,160.0,102.9,105.0,84.0,124.4,98.8,140.0,100.0,186.7,123.5,116.7,155.6,70.0,280.0,131.8,127.3,93.3,320.0,124.4,106.7
"Military Press (standing, strict)",45.0,60.0,85.7,55.1,56.2,45.0,66.7,52.9,75.0,53.6,100.0,66.2,62.5,83.3,37.5,150.0,70.6,68.2,50.0,171.4,66.7,57.1
Power Clean,68.0,90.7,129.5,83.3,85.0,68.0,100.7,80.0,113.3,81.0,151.1,100.0,94.4,125.9,56.7,226.7,106.7,103.0,75.6,259.0,100.7,86.3
Power Jerk,72.0,96.0,137.1,88.2,90.0,72.0,106.7,84.7,120.0,85.7,160.0,105.9,100.0,133.3,60.0,240.0,112.9,109.1,80.0,274.3,106.7,91.4
Power Snatch,54.0,72.0,102.9,66.2,67.5,54.0,80.0,63.5,90.0,64.3,120.0,79.4,75.0,100.0,45.0,180.0,84.7,81.8,60.0,205.7,80.0,68.6
Powerlifting Deadlift,120.0,160.0,228.6,147.1,150.0,120.0,177.8,141.2,200.0,142.9,266.7,176.5,166.7,222.2,100.0,400.0,188.2,181.8,133.3,457.1,177.8,152.4
Preacher Curl,30.0,40.0,57.1,36.8,37.5,30.0,44.4,35.3,50.0,35.7,66.7,44.1,41.7,55.6,25.0,100.0,47.1,45.5,33.3,114.3,44.4,38.1
Push Press,63.7,85.0,121.4,78.1,79.7,63.7,94.4,75.0,106.2,75.9,141.7,93.7,88.5,118.1,53.1,212.5,100.0,96.6,70.8,242.9,94.4,81.0
Snatch,66.0,88.0,125.7,80.9,82.5,66.0,97.8,77.6,110.0,78.6,146.7,97.1,91.7,122.2,55.0,220.0,103.5,100.0,73.3,251.4,97.8,83.8
Snatch Deadlift,90.0,120.0,171.4,110.3,112.5,90.0,133.3,105.9,150.0,107.1,200.0,132.4,125.0,166.7,75.0,300.0,141.2,136.4,100.0,342.9,133.3,114.3
Standing Reverse Curl,26.2,35.0,50.0,32.2,32.8,26.2,38.9,30.9,43.8,31.2,58.3,38.6,36.5,48.6,21.9,87.5,41.2,39.8,29.2,100.0,38.9,33.3
Supinated Chin-Up (bodyweight included),67.5,90.0,128.6,82.7,84.4,67.5,100.0,79.4,112.5,80.4,150.0,99.3,93.8,125.0,56.3,225.0,105.9,102.3,75.0,257.1,100.0,85.7
Weighted Dip (bodyweight included),78.8,105.0,150.0,96.5,98.4,78.8,116.7,92.6,131.2,93.8,175.0,115.8,109.4,145.8,65.6,262.5,123.5,119.3,87.5,300.0,116.7,100.0
